fold	role	resolution	shape_class	operation_index	kind	m	n	k	kernel	stride	selected_route	mean_us
hold-resolution-384	training	416	dense_3x3s1_k144	113	conv_dense	2704	16	144	3x3	1x1	packed-p1-n16	276.288
hold-resolution-384	training	448	dense_3x3s1_k144	113	conv_dense	3136	16	144	3x3	1x1	packed-p1-n16	323.776
hold-resolution-384	training	480	dense_3x3s1_k144	113	conv_dense	3600	16	144	3x3	1x1	packed-p1-n16	372.618
hold-resolution-384	training	512	dense_3x3s1_k144	113	conv_dense	4096	16	144	3x3	1x1	packed-p1-n16	425.832
hold-resolution-384	training	640	dense_3x3s1_k144	113	conv_dense	6400	16	144	3x3	1x1	packed-p1-n16	645.571
hold-resolution-384	training	416	dense_3x3s1_k576	127	conv_dense	2704	16	576	3x3	1x1	packed-p1-n16	958.38
hold-resolution-384	training	448	dense_3x3s1_k576	127	conv_dense	3136	16	576	3x3	1x1	packed-p1-n16	1123.02
hold-resolution-384	training	480	dense_3x3s1_k576	127	conv_dense	3600	16	576	3x3	1x1	packed-p1-n16	1325.48
hold-resolution-384	training	512	dense_3x3s1_k576	127	conv_dense	4096	16	576	3x3	1x1	packed-p1-n16	2294.23
hold-resolution-384	training	640	dense_3x3s1_k576	127	conv_dense	6400	16	576	3x3	1x1	packed-p1-n16	2276.33
hold-resolution-384	training	416	dense_3x3s1_k1152	161	conv_dense	676	16	1152	3x3	1x1	packed-p1-n16	587.868
hold-resolution-384	training	448	dense_3x3s1_k1152	161	conv_dense	784	16	1152	3x3	1x1	packed-p1-n16	662.867
hold-resolution-384	training	480	dense_3x3s1_k1152	161	conv_dense	900	16	1152	3x3	1x1	packed-p1-n16	757.46
hold-resolution-384	training	512	dense_3x3s1_k1152	161	conv_dense	1024	16	1152	3x3	1x1	packed-p1-n16	1178.71
hold-resolution-384	training	640	dense_3x3s1_k1152	161	conv_dense	1600	16	1152	3x3	1x1	packed-p1-n16	1192.78
hold-resolution-384	training	416	dense_3x3s1_k2304	201	conv_dense	169	16	2304	3x3	1x1	packed-p1-n16	323.209
hold-resolution-384	training	448	dense_3x3s1_k2304	201	conv_dense	196	16	2304	3x3	1x1	packed-p1-n16	338.247
hold-resolution-384	training	480	dense_3x3s1_k2304	201	conv_dense	225	16	2304	3x3	1x1	packed-p1-n16	401.013
hold-resolution-384	training	512	dense_3x3s1_k2304	201	conv_dense	256	16	2304	3x3	1x1	packed-p1-n16	425.867
hold-resolution-384	training	640	dense_3x3s1_k2304	201	conv_dense	400	16	2304	3x3	1x1	packed-p1-n16	625.195
hold-resolution-384	training	416	dense_3x3s2_k144	3	conv_dense	10816	32	144	3x3	2x2	p3-segmented-n16	1429.95
hold-resolution-384	training	448	dense_3x3s2_k144	3	conv_dense	12544	32	144	3x3	2x2	p3-segmented-n16	1629.08
hold-resolution-384	training	480	dense_3x3s2_k144	3	conv_dense	14400	32	144	3x3	2x2	p3-segmented-n16	1867.23
