resolution	fixture	integer_boundary_count	host_vs_board_scalar_boundaries	host_vs_board_optimized_boundaries	board_scalar_vs_optimized_all_files	board_final_output_exact	board_output_sha256	scalar_elapsed_s	optimized_elapsed_s	scalar_summary	optimized_summary
256	canonical	215	exact	exact	exact	exact	76ea2b6ad508d960f3e218277ef8f437e32f0eafae510d9ec28e8baa4b37aafa	9.752628	1.432266	mode=scalar tensors=215 operations=215 wall_us=8.88649e+06 output_hash=0x5e07af70309eb8cd 	mode=optimized tensors=215 operations=215 wall_us=406032 output_hash=0x5e07af70309eb8cd
256	zidane	215	exact	exact	exact	exact	7ad10956d7b2dc3669f93c66636ef06465ac8cb7e264eece1c761a885502be87	9.715420	1.429122	mode=scalar tensors=215 operations=215 wall_us=8.85098e+06 output_hash=0xe01054dc32660027 	mode=optimized tensors=215 operations=215 wall_us=405517 output_hash=0xe01054dc32660027
768	F0	215	exact	exact	exact	exact	f36d81ad3b0bdee71445366fe45c290722e9bdf4bf3c2db5fc67cc86f427aa58	84.816947	5.202502	mode=scalar tensors=215 operations=215 wall_us=8.34219e+07 output_hash=0x5bf0d5aca2066844 	mode=optimized tensors=215 operations=215 wall_us=3.62454e+06 output_hash=0x5bf0d5aca2066844
768	F1	215	exact	exact	exact	exact	253c108322185e580c3bbd491e6f565ccab1f2f2cc5577de9099d7c9080a66eb	84.649872	5.200150	mode=scalar tensors=215 operations=215 wall_us=8.32574e+07 output_hash=0x654865b3dbf73621 	mode=optimized tensors=215 operations=215 wall_us=3.6201e+06 output_hash=0x654865b3dbf73621
768	F2	215	exact	exact	exact	exact	cfe9e061a1d4a19b30f7b6be75df5d4033237a10bf09ef1584f9804e413626f9	84.756237	5.196342	mode=scalar tensors=215 operations=215 wall_us=8.3364e+07 output_hash=0xd20fda346e1e3a10 	mode=optimized tensors=215 operations=215 wall_us=3.61958e+06 output_hash=0xd20fda346e1e3a10
768	F3	215	exact	exact	exact	exact	46d5495ea53f035bae630bbced33b0b3afb52b9cb6d60f9b79f77a8f5fdf7d9b	84.597316	5.202332	mode=scalar tensors=215 operations=215 wall_us=8.32072e+07 output_hash=0x5c58bbb8621dca30 	mode=optimized tensors=215 operations=215 wall_us=3.62147e+06 output_hash=0x5c58bbb8621dca30
768	F4	215	exact	exact	exact	exact	2058ab85abe66ae7535c3fff9b52070ca71e30c30ecf1fff4281b6766d1d4d62	84.575276	5.201657	mode=scalar tensors=215 operations=215 wall_us=8.31862e+07 output_hash=0xb8014afd4a1befe4 	mode=optimized tensors=215 operations=215 wall_us=3.62332e+06 output_hash=0xb8014afd4a1befe4
768	F5	215	exact	exact	exact	exact	be40fccc5096c685c788d9a33aee5b27d6d3db96eac592510c39cf8788bae44a	84.422647	5.209435	mode=scalar tensors=215 operations=215 wall_us=8.30288e+07 output_hash=0xbd201d82136541a5 	mode=optimized tensors=215 operations=215 wall_us=3.62865e+06 output_hash=0xbd201d82136541a5
768	F6	215	exact	exact	exact	exact	6c2240d69b33f26fa69ca15cf201b92c339a3fc2567365fde7af33f823ebc4af	84.354027	5.202156	mode=scalar tensors=215 operations=215 wall_us=8.29595e+07 output_hash=0x381eec805e756471 	mode=optimized tensors=215 operations=215 wall_us=3.62116e+06 output_hash=0x381eec805e756471
768	F7	215	exact	exact	exact	exact	5bf5650a9656bc503521bdba778939e4319e340470c89aaea769e1908bfaa1d5	84.544933	5.197503	mode=scalar tensors=215 operations=215 wall_us=8.31483e+07 output_hash=0x3b24fb5ebb35a2c2 	mode=optimized tensors=215 operations=215 wall_us=3.62185e+06 output_hash=0x3b24fb5ebb35a2c2
768	bus	215	exact	exact	exact	exact	f36d81ad3b0bdee71445366fe45c290722e9bdf4bf3c2db5fc67cc86f427aa58	84.640206	5.196360	mode=scalar tensors=215 operations=215 wall_us=8.32483e+07 output_hash=0x5bf0d5aca2066844 	mode=optimized tensors=215 operations=215 wall_us=3.62297e+06 output_hash=0x5bf0d5aca2066844
768	canonical	215	exact	exact	exact	exact	171943ca1a23ed4d5507c31fa7b082a36b55919de9dc39c8e0a946ea6ddb4c2a	84.826782	5.201492	mode=scalar tensors=215 operations=215 wall_us=8.34324e+07 output_hash=0x9001f536157217a5 	mode=optimized tensors=215 operations=215 wall_us=3.62347e+06 output_hash=0x9001f536157217a5
768	zidane	215	exact	exact	exact	exact	efb2e9d3b6dabc22200388013acd71af874c439a2b3fc4c4ae0a38aad708b62f	84.255501	5.199330	mode=scalar tensors=215 operations=215 wall_us=8.28643e+07 output_hash=0x35c1e2ce904def10 	mode=optimized tensors=215 operations=215 wall_us=3.62382e+06 output_hash=0x35c1e2ce904def10
