surface	metric	samples	mean_us	stddev_us	cv_pct	median_us	p95_us	p99_us	p999_us	min_us	max_us	unique_output_hashes	output_hashes
R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	tail	1	18458.028000	0.000000	0.000000	18458.028000	18458.028000	18458.028000	18458.028000	18458.028000	18458.028000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	two_stage_total	1	126614.835000	0.000000	0.000000	126614.835000	126614.835000	126614.835000	126614.835000	126614.835000	126614.835000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	inference	1	3244447.210000	0.000000	0.000000	3244447.210000	3244447.210000	3244447.210000	3244447.210000	3244447.210000	3244447.210000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	tail	1	18642.454000	0.000000	0.000000	18642.454000	18642.454000	18642.454000	18642.454000	18642.454000	18642.454000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	two_stage_total	1	3263089.664000	0.000000	0.000000	3263089.664000	3263089.664000	3263089.664000	3263089.664000	3263089.664000	3263089.664000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	inference	1	107519.467000	0.000000	0.000000	107519.467000	107519.467000	107519.467000	107519.467000	107519.467000	107519.467000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	tail	1	18080.043000	0.000000	0.000000	18080.043000	18080.043000	18080.043000	18080.043000	18080.043000	18080.043000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	two_stage_total	1	125599.510000	0.000000	0.000000	125599.510000	125599.510000	125599.510000	125599.510000	125599.510000	125599.510000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	inference	10000	107547.423059	1777.101780	1.652389	107052.688500	110995.977050	116339.981470	120436.429038	105829.471000	128918.943000	1	0x8cacaa525eda05d
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	tail	10000	15019.390097	343.941290	2.289982	14944.711500	15428.837800	16850.348830	17543.301636	14662.321000	21321.492000	1	0x8cacaa525eda05d
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	two_stage_total	10000	122566.813155	1888.321478	1.540647	122015.347000	126110.280400	132130.606090	135915.628075	120743.945000	144395.623000	1	0x8cacaa525eda05d
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	inference	1000	107888.530472	2148.927700	1.991804	107175.717500	112572.511100	117279.738140	124818.363496	105877.978000	125031.646000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	tail	1000	15047.318602	388.475595	2.581693	14962.665500	15518.349650	17085.779750	18917.955285	14769.291000	20718.438000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	two_stage_total	1000	122935.849074	2287.883007	1.861038	122158.657500	127764.004900	132870.154250	140031.935212	120865.439000	140077.102000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000-hash	inference	1000	107592.421581	1668.650243	1.550899	107104.857500	110887.203450	115641.113400	118942.502367	105817.502000	119735.076000	1	0x8cacaa525eda05d
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000-hash	tail	1000	15042.187216	307.226975	2.042436	14978.454000	15311.666800	17027.365180	17336.211826	14796.440000	17339.035000	1	0x8cacaa525eda05d
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000-hash	two_stage_total	1000	122634.608797	1739.455651	1.418405	122122.360000	125883.665300	130607.930750	133985.207341	120782.938000	135641.890000	1	0x8cacaa525eda05d
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-1	inference	10	8539950.181200	3219.602150	0.037700	8539474.961000	8545129.926450	8545236.356490	8545260.303249	8533693.578000	8545262.964000	1	0x36bb741156971738
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-1	tail	10	31859.757500	172.203838	0.540506	31897.894500	32058.685550	32117.394710	32130.604271	31538.642000	32132.072000	1	0x36bb741156971738
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-1	two_stage_total	10	8571809.938700	3108.095138	0.036259	8571383.776000	8576844.315700	8576872.271140	8576878.561114	8565825.650000	8576879.260000	1	0x36bb741156971738
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-2	inference	10	4999888.305800	6318.843292	0.126380	4999826.292000	5009813.321250	5009980.028250	5010017.537325	4988933.886000	5010021.705000	1	0x36bb741156971738
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-2	tail	10	20667.260400	205.446997	0.994070	20733.381000	20860.444300	20861.180860	20861.346586	20203.227000	20861.365000	1	0x36bb741156971738
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-2	two_stage_total	10	5020555.566200	6332.622077	0.126134	5020533.090500	5030554.862750	5030694.659750	5030726.114075	5009662.329000	5030729.609000	1	0x36bb741156971738
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-4	inference	10	3236005.389700	44707.190085	1.381555	3214898.382000	3325831.212000	3333483.789600	3335205.619560	3210288.494000	3335396.934000	1	0x36bb741156971738
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-4	tail	10	15313.647700	188.066679	1.228099	15360.994500	15528.019350	15580.535070	15592.351107	14949.822000	15593.664000	1	0x36bb741156971738
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-4	two_stage_total	10	3251319.037400	44788.502013	1.377549	3230189.083500	3341302.568250	3349052.992050	3350796.837405	3225681.364000	3350990.598000	1	0x36bb741156971738
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-cpu	inference	1	3243289.384000	0.000000	0.000000	3243289.384000	3243289.384000	3243289.384000	3243289.384000	3243289.384000	3243289.384000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-cpu	tail	1	18868.859000	0.000000	0.000000	18868.859000	18868.859000	18868.859000	18868.859000	18868.859000	18868.859000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-cpu	two_stage_total	1	3262158.243000	0.000000	0.000000	3262158.243000	3262158.243000	3262158.243000	3262158.243000	3262158.243000	3262158.243000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-spacemit	inference	1	108864.273000	0.000000	0.000000	108864.273000	108864.273000	108864.273000	108864.273000	108864.273000	108864.273000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-spacemit	tail	1	18366.875000	0.000000	0.000000	18366.875000	18366.875000	18366.875000	18366.875000	18366.875000	18366.875000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-spacemit	two_stage_total	1	127231.148000	0.000000	0.000000	127231.148000	127231.148000	127231.148000	127231.148000	127231.148000	127231.148000	1	NA
performance/R211_PROJECT_EXACT_SPLIT_run1/spacemit-soak10000	inference	10000	107018.960430	1978.154471	1.848415	106537.946500	110167.654200	115661.019120	123251.600457	105312.335000	148546.252000	1	0x198e555969cee70e
performance/R211_PROJECT_EXACT_SPLIT_run1/spacemit-soak10000	tail	10000	14746.529075	237.431232	1.610082	14704.747000	14971.670150	15818.293680	17134.157567	14480.971000	20847.323000	1	0x198e555969cee70e
performance/R211_PROJECT_EXACT_SPLIT_run1/spacemit-soak10000	two_stage_total	10000	121765.489505	2060.654697	1.692314	121255.973500	125058.192750	130894.929670	138394.949648	120014.249000	164434.795000	1	0x198e555969cee70e
