root	segment	position	model	moment	kind	source	value
stage65e-short-1k	0	1	C2	before	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	before	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	before	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	before	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	before	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	before	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	before	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	before	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	before	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	before	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	before	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	before	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	before	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	before	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	before	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	before	temperature_millic	/sys/class/thermal/thermal_zone0/temp	55000
stage65e-short-1k	0	1	C2	before	temperature_millic	/sys/class/thermal/thermal_zone1/temp	55000
stage65e-short-1k	0	1	C2	before	temperature_millic	/sys/class/thermal/thermal_zone2/temp	55000
stage65e-short-1k	0	1	C2	before	temperature_millic	/sys/class/thermal/thermal_zone3/temp	58000
stage65e-short-1k	0	1	C2	after	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	after	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	after	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	after	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	after	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	after	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	after	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	after	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
stage65e-short-1k	0	1	C2	after	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	after	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	after	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	after	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	after	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	after	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	after	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	after	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	1	C2	after	temperature_millic	/sys/class/thermal/thermal_zone0/temp	58000
stage65e-short-1k	0	1	C2	after	temperature_millic	/sys/class/thermal/thermal_zone1/temp	58000
stage65e-short-1k	0	1	C2	after	temperature_millic	/sys/class/thermal/thermal_zone2/temp	58000
stage65e-short-1k	0	1	C2	after	temperature_millic	/sys/class/thermal/thermal_zone3/temp	58000
stage65e-short-1k	0	2	C2	before	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	before	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	before	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	before	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	before	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	before	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	before	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	before	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	before	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	before	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	before	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	before	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	before	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	before	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	before	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	before	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	before	temperature_millic	/sys/class/thermal/thermal_zone0/temp	58000
stage65e-short-1k	0	2	C2	before	temperature_millic	/sys/class/thermal/thermal_zone1/temp	58000
stage65e-short-1k	0	2	C2	before	temperature_millic	/sys/class/thermal/thermal_zone2/temp	58000
stage65e-short-1k	0	2	C2	before	temperature_millic	/sys/class/thermal/thermal_zone3/temp	59000
stage65e-short-1k	0	2	C2	after	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	after	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	after	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	after	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	after	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	after	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	after	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	after	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
stage65e-short-1k	0	2	C2	after	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	after	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	after	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	after	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	after	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	after	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	after	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	after	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	2	C2	after	temperature_millic	/sys/class/thermal/thermal_zone0/temp	58000
stage65e-short-1k	0	2	C2	after	temperature_millic	/sys/class/thermal/thermal_zone1/temp	59000
stage65e-short-1k	0	2	C2	after	temperature_millic	/sys/class/thermal/thermal_zone2/temp	59000
stage65e-short-1k	0	2	C2	after	temperature_millic	/sys/class/thermal/thermal_zone3/temp	60000
stage65e-short-1k	0	3	B2	before	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	before	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	before	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	before	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	before	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	before	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	before	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	before	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	before	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	before	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	before	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	before	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	before	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	before	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	before	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	before	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	before	temperature_millic	/sys/class/thermal/thermal_zone0/temp	58000
stage65e-short-1k	0	3	B2	before	temperature_millic	/sys/class/thermal/thermal_zone1/temp	59000
stage65e-short-1k	0	3	B2	before	temperature_millic	/sys/class/thermal/thermal_zone2/temp	59000
stage65e-short-1k	0	3	B2	before	temperature_millic	/sys/class/thermal/thermal_zone3/temp	61000
stage65e-short-1k	0	3	B2	after	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	after	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	after	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	after	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	after	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	after	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	after	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	after	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
stage65e-short-1k	0	3	B2	after	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	after	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	after	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	after	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	after	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	after	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	after	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	after	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
stage65e-short-1k	0	3	B2	after	temperature_millic	/sys/class/thermal/thermal_zone0/temp	60000
stage65e-short-1k	0	3	B2	after	temperature_millic	/sys/class/thermal/thermal_zone1/temp	59000
stage65e-short-1k	0	3	B2	after	temperature_millic	/sys/class/thermal/thermal_zone2/temp	61000
stage65e-short-1k	0	3	B2	after	temperature_millic	/sys/class/thermal/thermal_zone3/temp	60000
stage65e-b2-10k	0	0	B2	before	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	before	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	before	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	before	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	before	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	before	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	before	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	before	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	before	temperature_millic	/sys/class/thermal/thermal_zone0/temp	60000
stage65e-b2-10k	0	0	B2	before	temperature_millic	/sys/class/thermal/thermal_zone1/temp	59000
stage65e-b2-10k	0	0	B2	before	temperature_millic	/sys/class/thermal/thermal_zone2/temp	60000
stage65e-b2-10k	0	0	B2	before	temperature_millic	/sys/class/thermal/thermal_zone3/temp	61000
stage65e-b2-10k	0	0	B2	after	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	after	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	after	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	after	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	after	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	after	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	after	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	after	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
stage65e-b2-10k	0	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	0	0	B2	after	temperature_millic	/sys/class/thermal/thermal_zone0/temp	60000
stage65e-b2-10k	0	0	B2	after	temperature_millic	/sys/class/thermal/thermal_zone1/temp	60000
stage65e-b2-10k	0	0	B2	after	temperature_millic	/sys/class/thermal/thermal_zone2/temp	61000
stage65e-b2-10k	0	0	B2	after	temperature_millic	/sys/class/thermal/thermal_zone3/temp	62000
stage65e-b2-10k	1	0	B2	before	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	before	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	before	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	before	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	before	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	before	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	before	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	before	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	before	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	before	temperature_millic	/sys/class/thermal/thermal_zone0/temp	60000
stage65e-b2-10k	1	0	B2	before	temperature_millic	/sys/class/thermal/thermal_zone1/temp	59000
stage65e-b2-10k	1	0	B2	before	temperature_millic	/sys/class/thermal/thermal_zone2/temp	61000
stage65e-b2-10k	1	0	B2	before	temperature_millic	/sys/class/thermal/thermal_zone3/temp	61000
stage65e-b2-10k	1	0	B2	after	governor	/sys/devices/system/cpu/cpu0/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	after	governor	/sys/devices/system/cpu/cpu1/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	after	governor	/sys/devices/system/cpu/cpu2/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	after	governor	/sys/devices/system/cpu/cpu3/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	after	governor	/sys/devices/system/cpu/cpu4/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	after	governor	/sys/devices/system/cpu/cpu5/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	after	governor	/sys/devices/system/cpu/cpu6/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	after	governor	/sys/devices/system/cpu/cpu7/cpufreq/scaling_governor	performance
stage65e-b2-10k	1	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu1/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu2/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu3/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu4/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu5/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu6/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	after	frequency_khz	/sys/devices/system/cpu/cpu7/cpufreq/scaling_cur_freq	1600000
stage65e-b2-10k	1	0	B2	after	temperature_millic	/sys/class/thermal/thermal_zone0/temp	60000
stage65e-b2-10k	1	0	B2	after	temperature_millic	/sys/class/thermal/thermal_zone1/temp	59000
stage65e-b2-10k	1	0	B2	after	temperature_millic	/sys/class/thermal/thermal_zone2/temp	60000
