scope	pair	left_prediction_sha256	right_prediction_sha256	metric	replicates	seed	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_delta_gt_zero
H500-mandatory	F1-F0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_small	1000	65002	0.0	0.0	0.0	0.0	0.0	0.0
H500-mandatory	F1-F0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_medium	1000	65002	0.0	0.0	0.0	0.0	0.0	0.0
H500-mandatory	F1-F0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_large	1000	65002	0.0	0.0	0.0	0.0	0.0	0.0
D8-H500	D8-H0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	map50_95	1000	65002	0.011545403468581128	0.013095276688069738	0.012933639879886272	0.00808253157668917	0.019425149631476468	1.0
D8-H500	D8-H0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	map50	1000	65002	0.008237739756678408	0.009191160392820657	0.0088531955879112	0.004423902633902116	0.01640124773234473	1.0
D8-H500	D8-H0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_small	1000	65002	6.589757498287607e-06	0.00030366518093339365	0.0003921137411174308	-0.0023039094289122345	0.0025184957914065388	0.613
D8-H500	D8-H0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_medium	1000	65002	0.008374454016101263	0.00819855995663787	0.008132069484002857	0.0022814090730425567	0.01483318819569643	0.996
D8-H500	D8-H0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_large	1000	65002	0.016423070738258105	0.022735574480064042	0.022717476113318202	0.00920317921653355	0.035726696580410874	0.999
D8-H500	D8-H8	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	map50_95	1000	65002	-0.022877653828753786	-0.02137396082317138	-0.02136030516238918	-0.028139640925717857	-0.015102492907782638	0.0
D8-H500	D8-H8	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	map50	1000	65002	-0.024165485326268388	-0.022096523838351406	-0.02194309871035105	-0.03109537727485298	-0.013411502410969953	0.0
D8-H500	D8-H8	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_small	1000	65002	-0.00592319522628737	-0.009845166717993941	-0.010128266489087129	-0.02106613875367937	0.0020303568504144174	0.059
D8-H500	D8-H8	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_medium	1000	65002	-0.016921531832499004	-0.014975766722694985	-0.014961326326933588	-0.028189328141745434	-0.0018808930215090873	0.014
D8-H500	D8-H8	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_large	1000	65002	-0.022321432929563234	-0.0198407256965177	-0.019998926269408523	-0.033151373020468076	-0.0068248310440034285	0.002
