runtime	provider	test_id	model_sha256	input_sha256	output_sha256	independent_oracle_sha256	exact	provider_placement	corrected_error_class	raw_error_class
rt205	spacemit	A1	deca86a9eded9dde4487015d5148c763a38c7b59ebaf0f1354489d67a26bd83b	57544741bbfa8db0dd89704e70476a0a6f8527b28d8c217f55402d8f95e636e6	missing	32de2ed283e1f5e1c46b10721e5f283ae0461378a73f1030da39f983972f04d5	0	not proven before process failure	abort	abort
rt205	spacemit	B	20959105637277d614e141e05360169d75fec76ac308a6d5862e0fd37835d5b4	57544741bbfa8db0dd89704e70476a0a6f8527b28d8c217f55402d8f95e636e6	missing	c0255049f218f47b8a8dbf0d1ec2ad9027c3f7cc8ab1f68ef7eee9fea3300bbf	0	not proven before process failure	illegal_instruction	illegal_instruction
rt205	spacemit	C	82fba42df91f2a96f4f896a4b8d49db3f13f799059de4366660c60e651cbf890	0aca73146cffde1c9899396c251fcbbf7101e1341db50dbee832bc1b20927797	missing	fa2e45582ef16e09e2f63ccc71785940c0c1dc41c042e0080580744a6156e5c5	0	not proven before process failure	illegal_instruction	illegal_instruction
rt206	cpu	A0	fadc25cebbaa459c6aa874ac0178415dda7ec639bbf903fb36d5d863eb37d3b3	57544741bbfa8db0dd89704e70476a0a6f8527b28d8c217f55402d8f95e636e6	afc6013424b46b5aaaf991562841d790910e8a56c3f8caf06a2b091bffb685b9	afc6013424b46b5aaaf991562841d790910e8a56c3f8caf06a2b091bffb685b9	1	CPUExecutionProvider	none	wrong_output
rt206	cpu	A1	deca86a9eded9dde4487015d5148c763a38c7b59ebaf0f1354489d67a26bd83b	57544741bbfa8db0dd89704e70476a0a6f8527b28d8c217f55402d8f95e636e6	32de2ed283e1f5e1c46b10721e5f283ae0461378a73f1030da39f983972f04d5	32de2ed283e1f5e1c46b10721e5f283ae0461378a73f1030da39f983972f04d5	1	CPUExecutionProvider	none	none
rt206	cpu	B	20959105637277d614e141e05360169d75fec76ac308a6d5862e0fd37835d5b4	57544741bbfa8db0dd89704e70476a0a6f8527b28d8c217f55402d8f95e636e6	c0255049f218f47b8a8dbf0d1ec2ad9027c3f7cc8ab1f68ef7eee9fea3300bbf	c0255049f218f47b8a8dbf0d1ec2ad9027c3f7cc8ab1f68ef7eee9fea3300bbf	1	CPUExecutionProvider	none	none
rt206	cpu	C	82fba42df91f2a96f4f896a4b8d49db3f13f799059de4366660c60e651cbf890	0aca73146cffde1c9899396c251fcbbf7101e1341db50dbee832bc1b20927797	fa2e45582ef16e09e2f63ccc71785940c0c1dc41c042e0080580744a6156e5c5	fa2e45582ef16e09e2f63ccc71785940c0c1dc41c042e0080580744a6156e5c5	1	CPUExecutionProvider	none	none
rt206	spacemit	A0	fadc25cebbaa459c6aa874ac0178415dda7ec639bbf903fb36d5d863eb37d3b3	57544741bbfa8db0dd89704e70476a0a6f8527b28d8c217f55402d8f95e636e6	afc6013424b46b5aaaf991562841d790910e8a56c3f8caf06a2b091bffb685b9	afc6013424b46b5aaaf991562841d790910e8a56c3f8caf06a2b091bffb685b9	1	SpacemiT EP appended and subgraph observed	none	wrong_output
rt206	spacemit	A1	deca86a9eded9dde4487015d5148c763a38c7b59ebaf0f1354489d67a26bd83b	57544741bbfa8db0dd89704e70476a0a6f8527b28d8c217f55402d8f95e636e6	missing	32de2ed283e1f5e1c46b10721e5f283ae0461378a73f1030da39f983972f04d5	0	not proven before process failure	abort	abort
rt206	spacemit	B	20959105637277d614e141e05360169d75fec76ac308a6d5862e0fd37835d5b4	57544741bbfa8db0dd89704e70476a0a6f8527b28d8c217f55402d8f95e636e6	missing	c0255049f218f47b8a8dbf0d1ec2ad9027c3f7cc8ab1f68ef7eee9fea3300bbf	0	not proven before process failure	illegal_instruction	illegal_instruction
rt206	spacemit	C	82fba42df91f2a96f4f896a4b8d49db3f13f799059de4366660c60e651cbf890	0aca73146cffde1c9899396c251fcbbf7101e1341db50dbee832bc1b20927797	missing	fa2e45582ef16e09e2f63ccc71785940c0c1dc41c042e0080580744a6156e5c5	0	not proven before process failure	illegal_instruction	illegal_instruction
